Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Weekday,VarPercentage
2007-01-03,38.68,39.06,38.05,38.7,12405100.0,0.0,1.0,38.68,39.06,38.05,38.7,12405100.0,2,2.654402102226939
2007-01-04,38.59,39.14,38.26,38.9,6318400.0,0.0,1.0,38.59,39.14,38.26,38.9,6318400.0,3,2.3000522736479354
2007-01-05,38.72,38.79,37.6,38.37,6619700.0,0.0,1.0,38.72,38.79,37.6,38.37,6619700.0,4,3.1648936167468946
2007-01-08,38.22,38.31,37.17,37.5,6783000.0,0.0,1.0,38.22,38.31,37.17,37.5,6783000.0,0,3.06698950739019
2007-01-09,37.6,38.06,37.34,37.78,5703000.0,0.0,1.0,37.6,38.06,37.34,37.78,5703000.0,1,1.9282271020301778
2007-01-10,37.49,37.7,37.07,37.15,6527500.0,0.0,1.0,37.49,37.7,37.07,37.15,6527500.0,2,1.699487455889681
2007-01-11,37.17,38.0,37.17,37.4,6465600.0,0.0,1.0,37.17,38.0,37.17,37.4,6465600.0,3,2.2329835886407494
2007-01-12,37.36,38.21,37.27,38.2,4466400.0,0.0,1.0,37.36,38.21,37.27,38.2,4466400.0,4,2.5221357657565733
2007-01-16,38.4,38.89,37.97,38.66,5643700.0,0.0,1.0,38.4,38.89,37.97,38.66,5643700.0,1,2.422965498808466
2007-01-17,38.7,39.0,37.78,37.88,5026800.0,0.0,1.0,38.7,39.0,37.78,37.88,5026800.0,2,3.229221810208486
2007-01-18,37.5,37.65,36.72,36.98,9105000.0,0.0,1.0,37.5,37.65,36.72,36.98,9105000.0,3,2.532679738282866
2007-01-19,36.69,37.48,36.6,37.02,6095900.0,0.0,1.0,36.69,37.48,36.6,37.02,6095900.0,4,2.4043715844196356
2007-01-22,37.65,37.9,36.8,36.95,8317000.0,0.0,1.0,37.65,37.9,36.8,36.95,8317000.0,0,2.989130434502755
2007-01-23,36.9,37.07,36.3,36.43,5313600.0,0.0,1.0,36.9,37.07,36.3,36.43,5313600.0,1,2.1212121209307924
2007-01-24,36.51,37.36,36.5,37.26,5271700.0,0.0,1.0,36.51,37.36,36.5,37.26,5271700.0,2,2.356164383281211
2007-01-25,38.08,38.23,36.78,37.08,6747600.0,0.0,1.0,38.08,38.23,36.78,37.08,6747600.0,3,3.942359977966433
2007-01-26,37.26,37.26,36.3,36.85,4139300.0,0.0,1.0,37.26,37.26,36.3,36.85,4139300.0,4,2.6446280988907915
2007-01-29,36.7,37.45,36.54,37.43,7395000.0,0.0,1.0,36.7,37.45,36.54,37.43,7395000.0,0,2.4904214556582076
2007-01-30,37.29,37.42,36.63,37.05,4813500.0,0.0,1.0,37.29,37.42,36.63,37.05,4813500.0,1,2.1567021564232505
2007-01-31,36.95,38.19,36.76,37.67,7277500.0,0.0,1.0,36.95,38.19,36.76,37.67,7277500.0,2,3.8900979322527434
2007-02-01,37.95,39.3,37.85,38.7,26123100.0,0.0,1.0,37.95,39.3,37.85,38.7,26123100.0,3,3.8309114924601317
