Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Weekday,VarPercentage
2012-05-18,42.05,45.0,38.0,38.2318,573576400.0,0.0,1.0,42.05,45.0,38.0,38.2318,573576400.0,4,18.4210526312673
2012-05-21,36.53,36.66,33.0,34.03,168192700.0,0.0,1.0,36.53,36.66,33.0,34.03,168192700.0,0,11.090909090572438
2012-05-22,32.61,33.59,30.94,31.0,101786600.0,0.0,1.0,32.61,33.59,30.94,31.0,101786600.0,1,8.5649644469665
2012-05-23,31.37,32.5,31.36,32.0,73600000.0,0.0,1.0,31.37,32.5,31.36,32.0,73600000.0,2,3.6352040813022057
2012-05-24,32.95,33.21,31.77,33.03,50237200.0,0.0,1.0,32.95,33.21,31.77,33.03,50237200.0,3,4.532577903353712
2012-05-25,32.9,32.95,31.11,31.91,37149800.0,0.0,1.0,32.9,32.95,31.11,31.91,37149800.0,4,5.9144969459790815
2012-05-29,31.48,31.69,28.65,28.84,78063400.0,0.0,1.0,31.48,31.69,28.65,28.84,78063400.0,1,10.610820243942044
2012-05-30,28.695,29.55,27.86,28.19,57267900.0,0.0,1.0,28.695,29.55,27.86,28.19,57267900.0,2,6.066044507874864
2012-05-31,28.545,29.67,26.83,29.6,111639200.0,0.0,1.0,28.545,29.67,26.83,29.6,111639200.0,3,10.585165858700776
2012-06-01,28.892,29.15,27.39,27.72,41855500.0,0.0,1.0,28.892,29.15,27.39,27.72,41855500.0,4,6.425702810856421
2012-06-04,27.2,27.65,26.44,26.9,35230300.0,0.0,1.0,27.2,27.65,26.44,26.9,35230300.0,0,4.576399394460751
2012-06-05,26.7,27.76,25.75,25.869,42473400.0,0.0,1.0,26.7,27.76,25.75,25.869,42473400.0,1,7.805825242299804
2012-06-06,26.07,27.17,25.52,26.81,61489200.0,0.0,1.0,26.07,27.17,25.52,26.81,61489200.0,2,6.465517240962143
2012-06-07,27.0,27.35,26.15,26.31,26159500.0,0.0,1.0,27.0,27.35,26.15,26.31,26159500.0,3,4.588910133443264
2012-06-08,26.55,27.76,26.44,27.1,38034000.0,0.0,1.0,26.55,27.76,26.44,27.1,38034000.0,4,4.992435703082478
2012-06-11,27.18,28.07,26.835,27.005,28219600.0,0.0,1.0,27.18,28.07,26.835,27.005,28219600.0,0,4.6021986208138514
2012-06-12,27.48,27.77,26.96,27.4,15816800.0,0.0,1.0,27.48,27.77,26.96,27.4,15816800.0,1,3.0044510381935936
2012-06-13,27.66,28.1,27.1,27.27,17102800.0,0.0,1.0,27.66,28.1,27.1,27.27,17102800.0,2,3.6900368999863957
2012-06-14,27.65,28.32,27.38,28.29,16855000.0,0.0,1.0,27.65,28.32,27.38,28.29,16855000.0,3,3.433162892244596
2012-06-15,28.505,30.1,28.35,30.014,43563800.0,0.0,1.0,28.505,30.1,28.35,30.014,43563800.0,4,6.1728395057983505
2012-06-18,29.955,32.08,29.41,31.41,42978900.0,0.0,1.0,29.955,32.08,29.41,31.41,42978900.0,0,9.078544712311867
2012-06-19,31.535,32.18,30.7,31.911,30849000.0,0.0,1.0,31.535,32.18,30.7,31.911,30849000.0,1,4.820846905196035
2012-06-20,31.92,31.9288,31.15,31.6,15553600.0,0.0,1.0,31.92,31.9288,31.15,31.6,15553600.0,2,2.5001605133146114
2012-06-21,31.67,32.5,31.51,31.84,21875300.0,0.0,1.0,31.67,32.5,31.51,31.84,21875300.0,3,3.1418597267434336
2012-06-22,32.41,33.45,32.06,33.05,74834000.0,0.0,1.0,32.41,33.45,32.06,33.05,74834000.0,4,4.335620710841127
2012-06-25,32.86,33.02,31.55,32.06,24352900.0,0.0,1.0,32.86,33.02,31.55,32.06,24352900.0,0,4.6592709980835
2012-06-26,32.69,33.44,32.5,33.1,24858700.0,0.0,1.0,32.69,33.44,32.5,33.1,24858700.0,1,2.8923076919910926
2012-06-27,32.46,32.9,31.9,32.23,28568000.0,0.0,1.0,32.46,32.9,31.9,32.23,28568000.0,2,3.1347962379212078
2012-06-28,31.96,32.19,30.9,31.36,17713300.0,0.0,1.0,31.96,32.19,30.9,31.36,17713300.0,3,4.174757281216259
2012-06-29,31.92,31.99,30.76,31.095,19526900.0,0.0,1.0,31.92,31.99,30.76,31.095,19526900.0,4,3.9986996095448717
2012-07-02,31.25,31.73,30.55,30.771,14122000.0,0.0,1.0,31.25,31.73,30.55,30.771,14122000.0,0,3.8625204579251715
2012-07-03,30.91,31.44,30.8,31.2,8763600.0,0.0,1.0,30.91,31.44,30.8,31.2,8763600.0,1,2.0779220775906566
2012-07-05,31.32,31.625,31.02,31.47,10032100.0,0.0,1.0,31.32,31.625,31.02,31.47,10032100.0,3,1.9503546096004243
2012-07-06,31.44,31.9,31.26,31.73,10945600.0,0.0,1.0,31.44,31.9,31.26,31.73,10945600.0,4,2.0473448493216466
2012-07-09,32.1,32.88,31.99,32.17,17785200.0,0.0,1.0,32.1,32.88,31.99,32.17,17785200.0,0,2.782119411995069
2012-07-10,32.43,32.48,31.1599,31.47,14269500.0,0.0,1.0,32.43,32.48,31.1599,31.47,14269500.0,1,4.236534776734715
2012-07-11,31.48,31.56,30.55,30.97,13030300.0,0.0,1.0,31.48,31.56,30.55,30.97,13030300.0,2,3.306055646143008
2012-07-12,30.7,31.4,30.6,30.81,11300700.0,0.0,1.0,30.7,31.4,30.6,30.81,11300700.0,3,2.6143790846319774
2012-07-13,31.04,31.07,30.56,30.72,8108300.0,0.0,1.0,31.04,31.07,30.56,30.72,8108300.0,4,1.6688481672065762
2012-07-16,30.5,30.5,28.21,28.245,24672100.0,0.0,1.0,30.5,30.5,28.21,28.245,24672100.0,0,8.117688762466784
2012-07-17,28.48,28.59,27.15,28.09,30438600.0,0.0,1.0,28.48,28.59,27.15,28.09,30438600.0,1,5.303867402927082
2012-07-18,28.31,29.29,28.15,29.11,16841800.0,0.0,1.0,28.31,29.29,28.15,29.11,16841800.0,2,4.049733569790234
2012-07-19,29.41,29.5,28.63,29.0,13685100.0,0.0,1.0,29.41,29.5,28.63,29.0,13685100.0,3,3.0387705200732142
2012-07-20,29.0,29.47,28.72,28.76,11869100.0,0.0,1.0,29.0,29.47,28.72,28.76,11869100.0,4,2.611420612456101
2012-07-23,28.12,29.0,28.01,28.75,12390700.0,0.0,1.0,28.12,29.0,28.01,28.75,12390700.0,0,3.5344519810655726
2012-07-24,28.82,29.45,28.1,28.45,11539800.0,0.0,1.0,28.82,29.45,28.1,28.45,11539800.0,1,4.80427046226049
2012-07-25,28.39,29.49,28.08,29.34,17230200.0,0.0,1.0,28.39,29.49,28.08,29.34,17230200.0,2,5.021367520993508
2012-07-26,27.75,28.23,26.73,26.845,64597400.0,0.0,1.0,27.75,28.23,26.73,26.845,64597400.0,3,5.611672277943839
2012-07-27,23.19,24.54,22.28,23.705,123102300.0,0.0,1.0,23.19,24.54,22.28,23.705,123102300.0,4,10.143626570421247
2012-07-30,23.995,24.04,23.03,23.15,29285900.0,0.0,1.0,23.995,24.04,23.03,23.15,29285900.0,0,4.385584020389103
2012-07-31,23.37,23.37,21.61,21.71,56179400.0,0.0,1.0,23.37,23.37,21.61,21.71,56179400.0,1,8.144377602461162
2012-08-01,21.5,21.58,20.84,20.88,44604400.0,0.0,1.0,21.5,21.58,20.84,20.88,44604400.0,2,3.550863723111547
2012-08-02,20.77,20.84,19.82,20.04,56374500.0,0.0,1.0,20.77,20.84,19.82,20.04,56374500.0,3,5.146316851134486
2012-08-03,20.36,22.16,19.9,21.09,80647000.0,0.0,1.0,20.36,22.16,19.9,21.09,80647000.0,4,11.35678391903842
2012-08-06,21.39,22.15,21.3,21.92,27778900.0,0.0,1.0,21.39,22.15,21.3,21.92,27778900.0,0,3.990610328150268
2012-08-07,22.2,22.45,20.5,20.72,36782900.0,0.0,1.0,22.2,22.45,20.5,20.72,36782900.0,1,9.512195121417008
2012-08-08,20.71,21.15,20.22,20.72,29537400.0,0.0,1.0,20.71,21.15,20.22,20.72,29537400.0,2,4.599406527672613
2012-08-09,20.75,21.17,20.61,21.01,15610700.0,0.0,1.0,20.75,21.17,20.61,21.01,15610700.0,3,2.7171276074589485
2012-08-10,21.41,21.82,21.13,21.807,25794700.0,0.0,1.0,21.41,21.82,21.13,21.807,25794700.0,4,3.265499289620138
2012-08-13,22.15,22.45,21.4,21.6,24973100.0,0.0,1.0,22.15,22.45,21.4,21.6,24973100.0,0,4.906542055584566
2012-08-14,21.41,21.6,20.25,20.38,39308800.0,0.0,1.0,21.41,21.6,20.25,20.38,39308800.0,1,6.666666666139932
2012-08-15,20.64,21.41,20.4,21.2,47861100.0,0.0,1.0,20.64,21.41,20.4,21.2,47861100.0,2,4.9509803916424175
2012-08-16,20.44,20.48,19.69,19.87,157565300.0,0.0,1.0,20.44,20.48,19.69,19.87,157565300.0,3,4.012188927861786
2012-08-17,20.005,20.08,19.0,19.05,129293400.0,0.0,1.0,20.005,20.08,19.0,19.05,129293400.0,4,5.684210525759553
2012-08-20,19.05,20.13,18.75,20.011,101186600.0,0.0,1.0,19.05,20.13,18.75,20.011,101186600.0,0,7.35999999942743
2012-08-21,19.58,19.98,19.09,19.159,70640600.0,0.0,1.0,19.58,19.98,19.09,19.159,70640600.0,1,4.662126767393076
2012-08-22,19.36,19.53,18.96,19.439,49892200.0,0.0,1.0,19.36,19.53,18.96,19.439,49892200.0,2,3.0063291133807866
2012-08-23,19.5,19.73,19.36,19.44,32813700.0,0.0,1.0,19.5,19.73,19.36,19.44,32813700.0,3,1.9111570242670126
2012-08-24,19.52,19.68,19.25,19.409,29622200.0,0.0,1.0,19.52,19.68,19.25,19.409,29622200.0,4,2.2337662332351726
2012-08-27,19.49,19.53,19.1,19.15,20704000.0,0.0,1.0,19.49,19.53,19.1,19.15,20704000.0,0,2.251308899988217
2012-08-28,19.1,19.38,18.95,19.34,25417000.0,0.0,1.0,19.1,19.38,18.95,19.34,25417000.0,1,2.269129287059272
2012-08-29,19.32,19.38,19.07,19.1,16124700.0,0.0,1.0,19.32,19.38,19.07,19.1,16124700.0,2,1.625589931297199
2012-08-30,19.27,19.45,19.06,19.0885,30647500.0,0.0,1.0,19.27,19.45,19.06,19.0885,30647500.0,3,2.0461699889714424
2012-08-31,18.68,18.7,18.03,18.058,58764200.0,0.0,1.0,18.68,18.7,18.03,18.058,58764200.0,4,3.7160288402456274
2012-09-04,18.08,18.27,17.55,17.729,46622400.0,0.0,1.0,18.08,18.27,17.55,17.729,46622400.0,1,4.102564101970941
2012-09-05,18.27,18.75,18.18,18.58,60781800.0,0.0,1.0,18.27,18.75,18.18,18.58,60781800.0,2,3.135313530785851
2012-09-06,18.74,19.2617,18.72,18.96,46066500.0,0.0,1.0,18.74,19.2617,18.72,18.96,46066500.0,3,2.89369658064696
2012-09-07,19.1,19.42,18.78,18.98,36371700.0,0.0,1.0,19.1,19.42,18.78,18.98,36371700.0,4,3.4078807236240323
2012-09-10,19.06,19.2,18.55,18.81,24797800.0,0.0,1.0,19.06,19.2,18.55,18.81,24797800.0,0,3.5040431261266605
2012-09-11,18.92,19.581,18.85,19.43,50508200.0,0.0,1.0,18.92,19.581,18.85,19.43,50508200.0,1,3.8779840843295545
2012-09-12,20.76,21.16,20.28,20.931,121584000.0,0.0,1.0,20.76,21.16,20.28,20.931,121584000.0,2,4.339250492582153
2012-09-13,20.955,21.48,20.61,20.713,65041600.0,0.0,1.0,20.955,21.48,20.61,20.713,65041600.0,3,4.22125181899942
